,object_index,x,y,barycenter_ra,barycenter_dec,aperture_flux,aperture_flux_error,time,flux_radius,gaussian_fwhm,background,threshold,flux_max,isoarea_image,prof_rms_major_axis,prof_rms_minor_axis,pos_angle,flags
92,93,940.0638,481.5879,354.7459127,42.4104594,4526.659,193.3278,0.0,1.304,2.45,63.66917,24.78594,1847.785,40.0,1.191,1.006,-36.79,0
90,91,938.1509,484.2885,354.7459322,42.4104433,12533.28,193.1728,0.006333333333333333,1.211,2.22,62.7448,24.76867,1870.948,35.0,1.152,0.914,-52.11,0
94,95,920.124,509.2179,354.7459199,42.4104546,12319.81,191.8997,0.06333333333333334,1.362,2.92,60.4413,24.60026,1525.233,41.0,1.282,0.967,-51.5,0
93,94,918.2664,512.3064,354.7459251,42.4104547,12050.27,191.1654,0.06966666666666667,1.186,2.41,60.41802,24.50999,1698.029,33.0,1.161,0.844,-46.33,0
166,167,26.8569,104.9025,354.7460403,42.4105259,12426.89,189.7226,0.7156666666666667,1.466,3.0,54.62203,24.31733,1362.762,40.0,1.318,1.058,-44.27,0
169,170,29.5694,102.5529,354.746015,42.4104985,12379.61,189.3105,0.722,1.362,2.74,55.24063,24.2709,1394.988,38.0,1.224,0.998,-41.58,0
229,230,32.0301,100.5662,354.7459966,42.4105194,4612.463,188.9266,0.7283333333333334,1.205,2.16,55.36537,24.22168,725.1727,26.0,1.037,0.927,-2.19,0
179,180,139.7078,332.1709,354.7459597,42.4104454,5763.844,190.5238,0.7346666666666666,1.179,1.92,55.25695,24.42517,1046.996,27.0,1.033,0.94,76.03,0
133,134,141.7459,330.5775,354.7460419,42.4105303,12223.48,189.073,0.741,1.309,2.51,54.84342,24.24171,1694.839,38.0,1.252,0.967,-42.84,0
128,129,144.382,327.9259,354.746028,42.4105152,12152.11,189.3366,0.7473333333333333,1.319,2.62,54.76546,24.27168,1619.935,33.0,1.205,0.94,-35.24,0
130,131,147.2492,325.5512,354.746017,42.4105084,10806.27,189.2949,0.7536666666666666,1.362,2.68,55.22943,24.2689,1492.603,37.0,1.23,1.013,-34.6,0
95,96,916.2762,515.1006,354.7459012,42.4104578,12497.36,191.7546,0.07599999999999998,1.258,2.66,60.64846,24.58425,1660.7,35.0,1.201,0.899,-46.83,0
136,137,214.5909,483.3268,354.7459784,42.4104958,10470.09,189.9899,0.76,1.275,2.42,54.71259,24.35544,1474.248,36.0,1.201,0.972,-75.99,0
109,110,216.8625,481.2107,354.7460205,42.4104978,12630.19,188.6687,0.7663333333333333,1.206,2.26,54.30575,24.18989,2040.058,35.0,1.132,0.884,-21.6,0
103,104,219.7036,478.99,354.7460496,42.410551,12322.28,189.6993,0.7726666666666666,1.338,2.86,54.75459,24.3233,1674.585,37.0,1.255,0.937,-47.44,0
107,108,222.3514,476.594,354.7459966,42.4105211,12349.51,189.2921,0.7789999999999999,1.271,2.53,54.16178,24.2762,1777.14,36.0,1.201,0.926,-26.44,0
106,107,225.1661,474.2263,354.7460443,42.4105308,12467.57,189.344,0.7853333333333333,1.279,2.62,54.20359,24.2803,1580.937,37.0,1.207,0.932,-38.86,0
108,109,227.9222,471.9929,354.7460267,42.4105172,12810.44,188.7449,0.7916666666666666,1.255,2.17,54.27962,24.19203,2175.003,35.0,1.16,0.885,-26.76,0
109,110,230.9369,469.5737,354.7460598,42.4105432,12645.57,188.9313,0.7979999999999999,1.345,2.78,54.10067,24.22483,1565.848,39.0,1.267,0.967,-35.97,0
114,115,233.6908,467.3342,354.7459874,42.4105097,12635.88,189.206,0.8043333333333332,1.196,2.31,54.09477,24.25749,1918.772,37.0,1.15,0.966,-29.17,0
98,99,237.083,464.9664,354.7461848,42.4106442,12753.66,189.5112,0.8106666666666666,1.654,3.66,54.09117,24.30557,1223.397,50.0,1.555,1.181,-31.89,0
113,114,239.577,462.4816,354.7460136,42.410514,12646.97,189.5824,0.817,1.187,2.19,54.27815,24.30831,1620.442,34.0,1.108,0.967,-48.32,0
91,92,914.2308,517.8728,354.7459333,42.4104811,11906.86,190.9639,0.08233333333333333,1.182,2.35,60.34504,24.48803,2037.098,31.0,1.08,0.861,-49.37,0
114,115,242.2706,460.153,354.7460211,42.4105412,12743.59,188.3072,0.8233333333333334,1.314,2.81,54.10152,24.14607,1538.174,38.0,1.244,0.947,-30.35,0
114,115,245.1267,457.8463,354.7460244,42.4105283,12421.75,188.6413,0.8296666666666666,1.269,2.5,54.1912,24.18764,2027.775,35.0,1.185,0.902,-41.1,0
111,112,247.8484,455.5141,354.7459962,42.4105064,12264.37,188.394,0.836,1.203,2.46,54.51283,24.15466,1754.31,34.0,1.158,0.908,-26.75,0
106,107,250.8822,453.1464,354.7460518,42.4105721,12510.77,189.1347,0.8423333333333333,1.309,3.07,54.21373,24.24836,1585.946,37.0,1.252,0.905,-35.21,0
112,113,254.1539,450.6875,354.7460596,42.41059,12437.44,189.2583,0.8486666666666667,1.341,2.45,54.81407,24.26676,1851.56,37.0,1.201,1.024,-29.73,0
120,121,256.6486,448.413,354.7460888,42.410563,12411.84,189.3331,0.855,1.32,2.89,54.95567,24.28018,1636.338,35.0,1.244,0.949,-36.86,0
113,114,259.5882,446.1183,354.7460666,42.4105724,12528.3,188.9483,0.8613333333333333,1.32,3.17,54.22419,24.21937,1595.627,35.0,1.26,0.889,-36.37,0
112,113,262.589,443.6442,354.7461577,42.4106235,12693.45,189.0701,0.8676666666666667,1.459,3.35,54.3025,24.25156,1396.048,43.0,1.46,0.966,-44.93,0
119,120,265.329,441.715,354.7460228,42.4105295,12792.02,189.1537,0.874,1.267,2.61,54.35575,24.25335,1809.298,36.0,1.218,0.902,-24.34,0
120,121,268.2953,439.3613,354.7460495,42.4105579,12288.93,188.3595,0.8803333333333332,1.244,2.65,54.4189,24.15024,1679.82,33.0,1.216,0.882,-37.53,0
94,95,912.1121,520.5637,354.7459141,42.4104464,12467.92,191.1597,0.08866666666666666,1.284,2.66,60.26267,24.51184,1736.045,37.0,1.207,0.938,-50.47,0
116,117,271.3003,437.3014,354.7460313,42.4105391,12782.06,189.4117,0.8866666666666667,1.212,2.59,54.6788,24.29154,1838.884,33.0,1.191,0.871,-28.08,0
115,116,274.2972,434.9648,354.7460348,42.4105346,12436.77,188.7186,0.8929999999999999,1.235,2.44,54.50883,24.19883,1979.501,34.0,1.17,0.875,-23.41,0
122,123,277.1343,432.8544,354.7460713,42.4105436,12421.32,189.1624,0.8993333333333333,1.254,2.56,54.42814,24.25064,1976.025,35.0,1.148,0.91,-29.41,0
113,114,280.0256,430.4426,354.7460393,42.4105385,12768.07,189.151,0.9056666666666666,1.221,2.43,54.35856,24.253,1916.677,38.0,1.153,0.947,-29.0,0
98,99,283.3408,427.9631,354.7463613,42.4107716,12320.93,189.9388,0.9119999999999999,1.815,4.79,54.56532,24.35144,1138.439,56.0,1.822,1.154,-37.59,0
112,113,285.9706,425.618,354.746096,42.410532,12259.91,188.1546,0.9183333333333333,1.268,2.41,54.16289,24.13033,1893.378,34.0,1.157,0.931,-45.75,0
115,116,288.842,423.1304,354.7461039,42.4105693,12217.35,188.8624,0.9246666666666666,1.346,2.97,54.40906,24.216,1647.611,36.0,1.257,0.942,-37.42,0
120,121,291.7794,420.659,354.7460578,42.4105504,12492.61,189.3689,0.931,1.267,2.62,54.1344,24.28349,1762.721,32.0,1.154,0.914,-37.6,0
119,120,297.7094,416.2924,354.7460138,42.4105043,12674.92,188.9564,0.9436666666666665,1.205,2.42,53.88756,24.22422,1872.089,36.0,1.161,0.921,-30.59,0
119,120,300.8448,414.2776,354.7460405,42.4105244,12314.33,188.2084,0.95,1.315,2.92,53.8424,24.13722,1515.117,36.0,1.245,0.925,-37.35,0
90,91,909.85,523.5503,354.7459444,42.4105086,11811.21,190.1143,0.095,1.134,2.03,60.33109,24.37395,2037.254,32.0,1.058,0.879,-46.76,0
112,113,303.8014,411.794,354.7460418,42.4105131,12278.57,188.3952,0.9563333333333333,1.259,2.68,53.89884,24.19048,1994.168,32.0,1.166,0.885,-37.34,0
116,117,306.8605,409.4985,354.7460363,42.4105521,12073.12,189.1935,0.9626666666666667,1.29,2.8,53.63632,24.24952,1569.823,35.0,1.23,0.896,-37.24,0
118,119,309.9166,407.2662,354.7460298,42.4105391,12346.15,188.4395,0.969,1.265,2.67,53.22119,24.15796,1732.518,39.0,1.274,0.885,-36.28,0
121,122,313.1957,404.9225,354.7460592,42.4105673,12130.02,188.787,0.9753333333333333,1.301,2.88,53.81762,24.19997,1675.094,37.0,1.256,0.913,-36.51,0
116,117,316.0258,402.5865,354.7461212,42.410583,12602.35,189.0237,0.9816666666666667,1.429,3.15,53.82352,24.25071,1564.398,42.0,1.408,0.993,-40.4,0
119,120,319.0222,400.2904,354.7460374,42.4105446,12278.12,188.6404,0.9879999999999999,1.335,3.03,53.91346,24.18626,1560.131,37.0,1.285,0.924,-33.18,0
122,123,322.0819,398.0771,354.746048,42.410556,12186.25,188.9,0.9943333333333334,1.354,3.08,53.97348,24.22081,1558.334,38.0,1.265,0.937,-27.87,0
121,122,325.1417,395.7545,354.7460115,42.4105131,12186.3,188.7919,1.0006666666666666,1.298,2.8,53.5668,24.20568,1769.5,36.0,1.216,0.943,-33.56,0
118,119,328.3118,393.6058,354.7460902,42.4105747,12498.38,188.6743,1.007,1.37,3.17,53.55854,24.18679,1696.373,40.0,1.372,0.935,-35.07,0
131,132,331.5097,391.271,354.7459786,42.4105157,12409.06,188.7566,1.0133333333333334,1.224,2.39,53.21612,24.20243,2008.367,39.0,1.195,0.94,-31.36,0
95,96,907.7855,526.2432,354.7459718,42.4104855,12364.99,191.0337,0.10133333333333333,1.253,2.67,59.56077,24.50214,2140.799,35.0,1.199,0.857,-60.6,0
119,120,334.487,389.1807,354.7460353,42.4105242,12513.71,188.73,1.0196666666666665,1.296,2.84,53.18998,24.19775,1559.7,37.0,1.233,0.946,-32.72,0
125,126,337.3584,386.836,354.7460255,42.4105149,12290.71,188.9123,1.026,1.27,2.58,53.31611,24.21602,1847.638,33.0,1.204,0.891,-26.5,0
124,125,340.6345,384.6414,354.746028,42.410542,12011.12,188.3626,1.0323333333333333,1.267,2.79,53.0577,24.14556,1718.714,36.0,1.258,0.892,-34.34,0
125,126,343.792,382.4322,354.746038,42.4105226,12555.7,188.1216,1.0386666666666666,1.294,2.63,53.27728,24.13117,1605.022,36.0,1.261,0.93,-33.37,0
122,123,346.889,380.1786,354.7460272,42.4106252,12344.55,188.1923,1.045,1.356,3.07,53.29264,24.13007,1609.466,38.0,1.322,0.93,-38.19,0
123,124,350.5153,378.1067,354.74602,42.4105047,12101.17,188.374,1.0513333333333332,1.193,2.24,53.07693,24.14829,2134.189,34.0,1.115,0.93,-31.04,0
126,127,353.4677,375.8784,354.7460317,42.4105391,12520.04,188.0263,1.0576666666666668,1.312,2.9,53.09338,24.10499,1682.531,37.0,1.237,0.915,-35.26,0
133,134,356.4933,373.7752,354.7460075,42.4105415,12128.64,188.6451,1.064,1.31,2.81,53.06902,24.18559,1686.768,40.0,1.275,0.936,-38.54,0
129,130,359.6826,371.5482,354.7460301,42.4105124,12255.04,188.8794,1.0703333333333331,1.243,2.56,53.37573,24.2169,1768.831,40.0,1.224,0.942,-26.57,0
123,124,363.0058,369.2588,354.7460127,42.4105214,12191.74,188.58,1.0766666666666667,1.396,2.76,53.26508,24.18233,1466.513,44.0,1.337,1.045,-39.76,0
88,89,905.7568,528.9824,354.7459515,42.4104931,12607.93,190.5981,0.10766666666666666,1.147,2.08,59.55935,24.4437,2448.708,32.0,1.064,0.848,-41.5,0
133,134,366.0895,366.946,354.745997,42.4104918,12482.71,188.0287,1.083,1.27,2.18,53.41788,24.10783,2053.453,39.0,1.196,0.978,-48.7,0
