,object_index,x,y,barycenter_ra,barycenter_dec,aperture_flux,aperture_flux_error,time,flux_radius,gaussian_fwhm,background,threshold,flux_max,isoarea_image,prof_rms_major_axis,prof_rms_minor_axis,pos_angle,flags
138,139,354.8784,228.1889,354.7041117,42.6735284,138436.1,193.3583,0.0,1.44,2.68,63.07568,24.78594,16285.69,109.0,1.435,1.238,-53.97,0
140,141,352.9794,230.9552,354.7041684,42.673527,137323.1,193.1626,0.006333333333333333,1.415,2.53,62.5961,24.76867,17859.12,99.0,1.374,1.2,-56.78,0
141,142,334.9818,255.7373,354.7041661,42.6735116,138418.6,191.8492,0.06333333333333334,1.423,2.77,60.55416,24.60026,17555.84,108.0,1.441,1.201,-57.24,0
120,121,450.0516,498.4125,354.704204,42.6736466,113347.9,190.1308,0.6459999999999999,1.281,2.28,55.31463,24.38247,16137.54,93.0,1.278,1.119,-58.82,0
125,126,451.9766,496.3465,354.704262,42.6734848,111517.2,189.7261,0.6523333333333333,1.262,2.24,55.46968,24.32418,16485.55,106.0,1.277,1.228,2.81,2
102,103,434.4218,487.9402,354.70422,42.6736645,136014.1,189.7693,0.6586666666666666,1.3,2.51,55.41474,24.33484,18424.77,111.0,1.348,1.118,-53.55,0
134,135,476.653,496.5714,354.7042602,42.6735076,85157.89,189.8873,0.665,1.175,2.28,55.33146,24.34997,12230.77,93.0,1.309,1.062,-10.68,2
103,104,479.6497,493.9029,354.7041964,42.6734995,135371.6,189.361,0.6713333333333332,1.317,2.45,55.16681,24.27481,19147.72,110.0,1.327,1.153,-65.7,0
100,101,482.365,491.5819,354.7042045,42.6736511,135222.4,189.2191,0.6776666666666666,1.137,2.11,55.3433,24.26812,20923.57,108.0,1.206,1.09,-52.65,0
107,108,484.8881,489.1417,354.7042213,42.6736608,135044.6,189.3149,0.6839999999999999,1.301,2.62,55.12633,24.27147,19840.31,105.0,1.33,1.089,-46.56,0
107,108,495.2797,461.2549,354.7042723,42.6735099,134577.4,189.0999,0.6903333333333334,1.28,2.58,55.06893,24.24389,17482.71,105.0,1.315,1.121,-37.57,0
141,142,333.1641,258.8022,354.7041455,42.6735076,138928.0,191.0748,0.06966666666666667,1.37,2.76,60.361,24.50999,18391.08,117.0,1.397,1.188,-48.45,0
163,164,528.9257,358.0268,354.7040541,42.6734721,79223.14,190.1947,0.6966666666666667,1.288,2.35,55.10285,24.38554,13140.86,113.0,2.021,1.121,-67.6,2
157,158,531.2651,356.0794,354.7042174,42.6738455,62352.74,189.3294,0.703,1.331,2.63,54.56864,24.27204,10618.85,131.0,3.474,1.111,14.61,2
116,117,603.8032,373.3959,354.7043085,42.6735004,135756.4,188.7495,0.7093333333333333,1.367,2.87,54.64774,24.23469,16617.03,105.0,1.399,1.109,-46.23,0
121,122,606.4638,370.8189,354.7042501,42.6735034,135899.0,189.6527,0.7156666666666667,1.401,3.05,54.71179,24.31733,14819.4,106.0,1.434,1.126,-43.77,0
119,120,609.2075,368.5204,354.7042734,42.6735113,136091.4,189.3504,0.722,1.265,2.64,54.45699,24.2709,19472.29,113.0,1.344,1.083,-39.05,0
174,175,611.5964,366.4345,354.704264,42.6734782,52120.64,188.8272,0.7283333333333334,1.095,2.11,55.03876,24.22168,7568.385,74.0,1.189,1.035,0.84,0
110,111,719.6202,597.2552,354.7042591,42.6734382,65728.41,190.4837,0.7346666666666666,1.086,1.73,55.28326,24.42517,12477.83,85.0,1.194,1.074,83.31,0
80,81,721.6835,595.662,354.7043178,42.6735212,137992.4,189.073,0.741,1.246,2.48,54.6487,24.24171,19348.87,120.0,1.369,1.087,-41.77,0
79,80,724.331,593.0936,354.7042959,42.6735197,138582.9,189.2868,0.7473333333333333,1.293,2.69,54.85181,24.27168,18223.81,114.0,1.345,1.081,-38.87,0
79,80,727.2207,590.7413,354.704258,42.6735208,137614.7,189.2551,0.7536666666666666,1.292,2.85,55.08338,24.2689,17931.56,118.0,1.394,1.084,-33.02,0
141,142,331.1634,261.5944,354.7041158,42.6735191,138221.3,191.6537,0.07599999999999998,1.416,2.75,60.11666,24.58425,17960.23,114.0,1.438,1.209,-53.37,0
70,71,794.7372,747.9416,354.7042133,42.6735011,115750.8,189.9799,0.76,1.28,2.49,54.65192,24.35544,16411.4,106.0,1.329,1.092,-76.75,2
59,60,797.0302,745.9163,354.7042417,42.6735115,139891.2,188.629,0.7663333333333333,1.192,2.13,54.42591,24.18989,26704.83,109.0,1.209,1.01,-25.25,0
51,52,799.8746,743.6558,354.7042926,42.6735493,140366.0,189.6893,0.7726666666666666,1.286,2.58,54.13844,24.3233,19403.28,116.0,1.367,1.026,-42.26,0
54,55,802.5285,741.2339,354.7042561,42.6735386,140702.7,189.322,0.7789999999999999,1.207,2.41,54.33802,24.2762,21110.43,109.0,1.253,1.027,-27.59,0
55,56,805.3273,738.9233,354.7042738,42.6735489,140532.2,189.364,0.7853333333333333,1.275,2.83,54.28358,24.2803,19779.64,106.0,1.33,0.993,-37.62,0
53,54,808.0792,736.702,354.7042605,42.673525,140134.7,188.7152,0.7916666666666666,1.17,2.19,54.33096,24.19203,25213.31,102.0,1.232,0.964,-27.1,0
56,57,811.0847,734.3362,354.7042736,42.6735581,140596.4,188.9512,0.7979999999999999,1.313,2.76,54.10653,24.22483,17026.25,114.0,1.349,1.064,-36.25,0
62,63,813.9159,732.0022,354.704258,42.6735281,140466.6,189.2159,0.8043333333333332,1.235,2.17,54.0719,24.25749,25396.62,113.0,1.269,1.013,-34.52,0
