,object_index,x,y,barycenter_ra,barycenter_dec,aperture_flux,aperture_flux_error,time,flux_radius,gaussian_fwhm,background,threshold,flux_max,isoarea_image,prof_rms_major_axis,prof_rms_minor_axis,pos_angle,flags
138,139,354.878,228.1905,354.7041126,42.6735281,136308.7,104.9451,0.0,1.44,2.67,63.06065,24.68538,16246.26,111.0,1.436,1.24,-53.76,0
138,139,352.9801,230.9554,354.7040357,42.6735502,135463.1,105.2098,0.006333333333333333,1.415,2.53,62.61293,24.72576,17844.96,99.0,1.373,1.2,-56.73,0
143,144,334.9815,255.7357,354.7041599,42.673511,136492.1,104.0328,0.06333333333333334,1.426,2.78,60.45309,24.46646,17561.61,109.0,1.444,1.202,-57.45,0
120,121,450.0508,498.413,354.7042041,42.6736453,111898.8,103.5074,0.6459999999999999,1.283,2.28,55.33513,24.33428,16166.2,95.0,1.281,1.12,-58.07,0
128,129,451.9754,496.3517,354.7042172,42.6736308,109066.4,103.1129,0.6523333333333333,1.263,2.24,55.39797,24.24154,16362.1,104.0,1.278,1.209,6.87,2
103,104,434.4205,487.9398,354.7042205,42.673664,134133.3,103.1417,0.6586666666666666,1.302,2.51,55.31173,24.2526,18411.09,112.0,1.349,1.121,-53.24,0
134,135,476.6559,496.5716,354.7042333,42.6736544,84004.55,103.2968,0.665,1.185,2.28,55.29644,24.28477,12288.38,87.0,1.269,1.052,-15.39,2
104,105,479.6498,493.9027,354.7041705,42.6736417,133456.1,103.199,0.6713333333333332,1.319,2.45,55.02606,24.22324,19120.8,110.0,1.329,1.153,-65.82,0
99,100,482.3657,491.5833,354.7042034,42.6736515,133617.7,102.9339,0.6776666666666666,1.138,2.07,55.30408,24.19518,20864.34,109.0,1.206,1.093,-53.01,0
107,108,484.8867,489.1405,354.7042099,42.6736573,133235.6,103.113,0.6839999999999999,1.3,2.63,55.10346,24.21587,19854.65,106.0,1.33,1.093,-47.03,0
108,109,495.28,461.2551,354.7042726,42.67351,132661.8,103.0234,0.6903333333333334,1.281,2.58,55.01315,24.1991,17406.23,105.0,1.316,1.121,-37.55,0
141,142,333.1635,258.8001,354.7041411,42.6735076,136900.7,103.8035,0.06966666666666667,1.362,2.76,60.30686,24.42118,18405.6,120.0,1.399,1.194,-47.78,0
162,163,528.9238,358.0259,354.7039873,42.6736161,75997.66,103.484,0.6966666666666667,1.288,2.35,55.17843,24.3374,13096.02,112.0,2.018,1.122,-67.83,2
151,152,531.2661,356.0796,354.7042959,42.6736991,60667.02,103.1508,0.703,1.328,2.62,54.54063,24.22903,10602.75,130.0,3.445,1.111,14.55,2
116,117,603.8029,373.3951,354.7042949,42.6735239,133807.6,102.7255,0.7093333333333333,1.368,2.87,54.60684,24.1847,16541.01,105.0,1.399,1.109,-46.21,0
121,122,606.463,370.8188,354.7042459,42.6735228,133792.9,102.9703,0.7156666666666667,1.402,3.05,54.69,24.208,14780.34,106.0,1.434,1.126,-43.75,0
119,120,609.207,368.5189,354.7042652,42.6735103,133786.7,102.7422,0.722,1.265,2.64,54.48287,24.18006,19424.76,114.0,1.343,1.087,-39.11,0
174,175,611.596,366.4345,354.7042603,42.6734844,51163.52,102.9131,0.7283333333333334,1.095,2.11,54.94505,24.20313,7579.462,74.0,1.189,1.035,0.73,0
110,111,719.6202,597.2546,354.7042696,42.6734325,64514.55,103.6107,0.7346666666666666,1.086,1.73,55.26082,24.34995,12472.31,85.0,1.196,1.074,83.13,0
79,80,721.683,595.663,354.7043063,42.6734938,135993.0,103.0288,0.741,1.248,2.48,54.6139,24.21321,19283.87,121.0,1.369,1.096,-42.02,0
79,80,724.3278,593.0934,354.7042972,42.6735241,136414.4,103.0749,0.7473333333333333,1.292,2.68,54.9034,24.20692,18289.11,115.0,1.344,1.086,-38.13,0
