,object_index,x,y,barycenter_ra,barycenter_dec,aperture_flux,aperture_flux_error,time,flux_radius,gaussian_fwhm,background,threshold,flux_max,isoarea_image,prof_rms_major_axis,prof_rms_minor_axis,pos_angle,flags
158,159,364.6499,114.7933,354.6411696,42.6831815,15064.06,104.9451,0.0,1.466,2.78,62.95387,24.68538,1791.528,52.0,1.396,1.141,-43.32,0
156,157,362.7251,117.5608,354.6410823,42.6832422,15132.14,105.154,0.006333333333333333,1.422,2.63,62.67765,24.72576,1817.476,47.0,1.304,1.127,-55.73,0
161,162,344.7627,142.3455,354.6412244,42.6831655,15087.24,104.0512,0.06333333333333334,1.416,2.73,59.83455,24.46646,1685.268,48.0,1.335,1.097,-54.26,0
90,91,438.0064,611.5869,354.6413031,42.6833529,12545.26,103.3792,0.6459999999999999,1.25,2.15,55.10207,24.33428,1953.916,38.0,1.153,1.001,-46.01,0
104,105,439.8929,609.5475,354.6413054,42.6833324,12143.84,103.2041,0.6523333333333333,1.239,2.22,55.29086,24.24154,1883.436,40.0,1.113,1.013,-32.81,0
82,83,422.3243,601.1633,354.6413395,42.6833826,14819.05,103.1052,0.6586666666666666,1.292,2.47,55.32598,24.2526,1870.709,42.0,1.207,0.993,-48.71,0
104,105,464.6436,609.7524,354.641337,42.6833842,9239.723,103.2968,0.665,1.209,2.25,55.09744,24.28477,1398.011,34.0,1.149,0.922,-13.12,0
82,83,467.5645,607.1057,354.6412642,42.6833499,14557.04,103.0168,0.6713333333333332,1.312,2.44,55.06799,24.22324,2097.417,40.0,1.194,1.013,-56.97,0
79,80,470.2175,604.7833,354.6412679,42.6833351,14498.43,102.9157,0.6776666666666666,1.183,1.95,55.30936,24.19518,2560.611,38.0,1.051,0.967,-35.35,0
85,86,472.7793,602.3778,354.641272,42.6833608,14286.93,103.0037,0.6839999999999999,1.267,2.56,55.10955,24.21587,2138.433,37.0,1.183,0.94,-39.24,0
86,87,483.1422,574.4833,354.6413041,42.6831597,14669.17,103.0416,0.6903333333333334,1.308,2.67,55.00172,24.1991,1956.438,43.0,1.215,0.987,-35.14,0
