,object_index,x,y,barycenter_ra,barycenter_dec,aperture_flux,aperture_flux_error,time,flux_radius,gaussian_fwhm,background,threshold,flux_max,isoarea_image,prof_rms_major_axis,prof_rms_minor_axis,pos_angle,flags
91,92,940.0635,481.5884,354.7459125,42.4104598,12232.03,104.9637,0.0,1.305,2.45,63.76291,24.68538,1843.295,40.0,1.191,1.006,-36.88,0
89,90,938.1514,484.2878,354.7458762,42.4103127,12255.45,105.2284,0.006333333333333333,1.217,2.22,62.78672,24.72576,1866.501,35.0,1.152,0.914,-52.1,0
95,96,920.1219,509.2173,354.7459069,42.4104546,11834.47,103.9776,0.06333333333333334,1.36,2.92,60.47409,24.46646,1524.002,41.0,1.282,0.969,-51.11,0
93,94,918.257,512.2946,354.7459165,42.4104587,11729.06,103.9505,0.06966666666666667,1.166,2.42,60.41751,24.42118,1688.226,33.0,1.164,0.845,-47.18,0
163,164,24.1877,107.5313,354.7460321,42.4105288,12294.17,102.8166,0.7093333333333333,1.429,2.99,55.28234,24.1847,1271.029,36.0,1.251,1.035,-48.82,0
166,167,26.8572,104.8923,354.7460319,42.4105214,12462.93,103.0249,0.7156666666666667,1.466,3.0,54.66198,24.208,1362.12,41.0,1.319,1.07,-45.71,0
169,170,29.5667,102.5619,354.7460339,42.4105098,12301.94,102.9423,0.722,1.36,2.74,55.27623,24.18006,1391.54,37.0,1.216,0.99,-39.31,0
230,231,32.0307,100.565,354.7460084,42.410574,4596.909,102.9859,0.7283333333333334,1.205,2.16,55.37033,24.20313,723.26,26.0,1.037,0.927,-2.29,0
179,180,139.709,332.1704,354.7459856,42.4104297,5695.735,103.5557,0.7346666666666666,1.175,1.92,55.3055,24.34995,1046.819,27.0,1.032,0.94,76.33,0
132,133,141.7453,330.5748,354.745979,42.4104734,12272.14,103.0106,0.741,1.309,2.51,54.79872,24.21321,1705.292,38.0,1.253,0.969,-43.48,0
128,129,144.3811,327.9236,354.7460077,42.4104993,12184.21,102.8746,0.7473333333333333,1.319,2.61,54.70666,24.20692,1624.339,35.0,1.204,0.955,-33.67,0
130,131,147.2488,325.5515,354.7459934,42.4104952,12184.78,102.7411,0.7536666666666666,1.362,2.68,55.18523,24.15841,1488.449,37.0,1.23,1.013,-34.59,0
96,97,916.2766,515.1001,354.745901,42.4104572,12024.66,104.3942,0.07599999999999998,1.259,2.66,60.57659,24.52108,1657.065,35.0,1.201,0.899,-46.86,0
134,135,214.5898,483.3297,354.7459744,42.4104936,10165.67,103.1804,0.76,1.28,2.43,54.67395,24.27028,1467.021,36.0,1.202,0.972,-76.04,0
108,109,216.8629,481.2106,354.7460216,42.4104983,12352.84,102.5755,0.7663333333333333,1.206,2.27,54.28812,24.12374,2029.476,35.0,1.132,0.884,-21.56,0
104,105,219.7041,478.9911,354.7460491,42.410551,12424.34,103.0657,0.7726666666666666,1.337,2.86,54.6925,24.2519,1679.771,37.0,1.255,0.937,-47.41,0
