,object_index,x,y,barycenter_ra,barycenter_dec,aperture_flux,aperture_flux_error,time,flux_radius,gaussian_fwhm,background,threshold,flux_max,isoarea_image,prof_rms_major_axis,prof_rms_minor_axis,pos_angle,flags
110,111,340.8223,373.5934,354.7850412,42.6617063,26333.24,104.9822,0.0,1.456,2.69,63.34606,24.68538,3297.937,60.0,1.369,1.14,-49.17,0
110,111,338.8924,376.332,354.784976,42.6617084,26629.12,105.2656,0.006333333333333333,1.348,2.43,62.53166,24.72576,3384.432,59.0,1.314,1.133,-56.58,0
116,117,320.8885,401.127,354.7850817,42.661698,26176.09,104.2168,0.06333333333333334,1.371,2.64,60.35748,24.46646,3260.135,52.0,1.297,1.093,-52.18,0
146,147,467.0802,353.2986,354.7851045,42.6617742,21479.05,103.6355,0.6459999999999999,1.322,2.39,55.04623,24.33428,2777.26,49.0,1.234,1.07,-53.96,0
157,158,469.0591,351.2191,354.7851269,42.6617705,21092.13,103.1129,0.6523333333333333,1.288,2.37,55.12366,24.24154,2775.203,48.0,1.171,1.085,-44.38,0
128,129,451.4522,342.8502,354.7850365,42.6617647,26361.05,103.1417,0.6586666666666666,1.329,2.63,55.09708,24.2526,3367.022,55.0,1.274,1.064,-46.55,0
160,161,493.6729,351.537,354.7850849,42.6617774,16548.8,103.3699,0.665,1.218,2.48,55.2425,24.28477,2300.299,42.0,1.186,0.976,-23.15,0
131,132,496.6786,348.8448,354.7850179,42.6617605,26107.74,103.0715,0.6713333333333332,1.345,2.54,54.72767,24.22324,3494.156,58.0,1.291,1.104,-56.14,0
123,124,499.4177,346.5067,354.7850906,42.6617763,25978.92,102.8429,0.6776666666666666,1.156,2.06,54.79052,24.19518,3794.715,53.0,1.148,1.04,-46.85,0
132,133,501.9423,344.0767,354.7850773,42.6617864,25975.9,103.0766,0.6839999999999999,1.329,2.59,54.70974,24.21587,3691.511,53.0,1.287,1.01,-35.78,0
131,132,512.3645,316.1692,354.7851959,42.6616998,25500.12,102.987,0.6903333333333334,1.306,2.63,54.71937,24.1991,3481.962,49.0,1.243,1.029,-33.27,0
113,114,319.046,404.2039,354.7850787,42.6616976,26490.77,103.8219,0.06966666666666667,1.345,2.55,60.20925,24.42118,3253.399,55.0,1.274,1.1,-42.55,0
211,212,546.2055,212.7822,354.7849427,42.6617491,15167.55,103.4657,0.6966666666666667,1.233,2.13,54.89524,24.3374,2312.07,50.0,1.285,1.03,-64.85,2
183,184,547.9662,210.8936,354.7851929,42.6616785,12565.38,103.0415,0.703,1.262,2.13,54.56114,24.22903,2059.755,38.0,1.081,1.044,-49.61,0
142,143,620.992,228.3342,354.7852083,42.6617248,26621.11,102.8166,0.7093333333333333,1.401,2.93,54.53852,24.1847,3016.517,56.0,1.346,1.035,-45.14,0
