,object_index,x,y,barycenter_ra,barycenter_dec,aperture_flux,aperture_flux_error,time,flux_radius,gaussian_fwhm,background,threshold,flux_max,isoarea_image,prof_rms_major_axis,prof_rms_minor_axis,pos_angle,flags
120,121,897.4571,332.712,354.6725911,42.4452096,10520.47,105.5404,0.0,1.3,2.6,63.05689,24.78594,1437.46,35.0,1.191,0.978,-48.1,0
121,122,895.518,335.5238,354.6726691,42.4451958,10590.45,105.5227,0.006333333333333333,1.16,2.33,62.33678,24.76867,1486.919,32.0,1.146,0.889,-50.92,0
125,126,877.5533,360.373,354.6726222,42.4451925,10177.88,104.6758,0.06333333333333334,1.285,2.73,60.42808,24.60026,1404.27,33.0,1.239,0.895,-49.36,0
123,124,875.6975,363.4229,354.6726043,42.4452025,10358.92,104.1995,0.06966666666666667,1.204,2.45,60.41601,24.50999,1534.082,33.0,1.149,0.89,-46.76,0
135,136,63.6023,257.3261,354.6727745,42.4452593,10635.19,103.0473,0.7093333333333333,1.378,2.8,54.99881,24.23469,1271.702,33.0,1.247,0.958,-53.24,0
138,139,66.216,254.6892,354.6727155,42.4452466,10755.28,103.3804,0.7156666666666667,1.456,3.05,55.30441,24.31733,1108.547,38.0,1.326,1.016,-45.07,0
139,140,68.9744,252.3342,354.672715,42.4452371,10529.67,103.2196,0.722,1.342,2.74,54.93918,24.2709,1272.81,37.0,1.224,1.025,-47.65,0
198,199,71.4137,250.2971,354.6727014,42.4452428,4065.309,102.9373,0.7283333333333334,1.124,2.13,55.42926,24.22168,613.2027,21.0,0.983,0.825,-10.98,0
146,147,179.3996,481.8872,354.6726699,42.4452232,4992.63,103.7653,0.7346666666666666,1.1,1.73,55.75921,24.42517,878.8219,25.0,0.979,0.863,-83.24,0
102,103,181.3423,480.2426,354.6727503,42.4452624,10511.05,103.0954,0.741,1.28,2.57,54.88645,24.24171,1291.089,37.0,1.251,0.944,-42.35,0
99,100,183.9521,477.6014,354.6727349,42.4452406,10509.19,103.1498,0.7473333333333333,1.3,2.62,54.94841,24.27168,1503.269,39.0,1.228,0.978,-39.58,0
102,103,186.8414,475.2073,354.6727382,42.4452406,10615.58,103.211,0.7536666666666666,1.303,2.78,55.28563,24.2689,1407.366,36.0,1.272,0.928,-31.77,0
124,125,873.6909,366.2947,354.6726234,42.4452048,10665.33,104.6816,0.07599999999999998,1.257,2.56,60.24084,24.58425,1556.733,34.0,1.216,0.888,-46.44,0
98,99,254.3108,632.9067,354.6727148,42.4452294,8641.572,103.7256,0.76,1.282,2.6,54.72135,24.35544,1075.745,34.0,1.202,0.939,-70.75,0
80,81,256.5709,630.8849,354.672713,42.4452363,10362.81,102.8386,0.7663333333333333,1.152,2.15,54.53808,24.18989,1776.072,29.0,1.056,0.856,-19.08,0
74,75,259.4318,628.6151,354.672776,42.4452882,10674.43,103.479,0.7726666666666666,1.288,2.72,54.72408,24.3233,1429.484,33.0,1.231,0.887,-40.55,0
78,79,262.0645,626.2167,354.6727162,42.4452616,10579.05,103.2238,0.7789999999999999,1.259,2.68,54.6592,24.2762,1362.423,34.0,1.158,0.897,-28.01,0
78,79,264.8981,623.8715,354.6727544,42.4452787,10419.06,103.4056,0.7853333333333333,1.289,2.94,54.29879,24.2803,1581.251,33.0,1.203,0.868,-34.4,0
76,77,267.6602,621.6223,354.672754,42.4452667,10227.9,102.9205,0.7916666666666666,1.147,2.22,54.47031,24.19203,1626.557,33.0,1.152,0.845,-32.88,0
77,78,270.6349,619.2574,354.6727488,42.4452829,10618.87,103.0054,0.7979999999999999,1.297,2.67,54.44423,24.22483,1453.889,33.0,1.186,0.924,-38.26,0
