,object_index,x,y,barycenter_ra,barycenter_dec,aperture_flux,aperture_flux_error,time,flux_radius,gaussian_fwhm,background,threshold,flux_max,isoarea_image,prof_rms_major_axis,prof_rms_minor_axis,pos_angle,flags
171,172,513.5178,51.0393,354.582578,42.631543,66010.22,105.4286,0.0,1.421,2.68,62.7966,24.78594,7347.5,80.0,1.378,1.196,-45.65,0
172,173,511.6328,53.7966,354.5826151,42.6315355,65777.57,105.3365,0.006333333333333333,1.375,2.53,62.59409,24.76867,8735.592,70.0,1.328,1.12,-54.81,0
173,174,493.648,78.6261,354.5826332,42.6315237,65693.06,104.6573,0.06333333333333334,1.417,2.85,59.82204,24.60026,7710.604,74.0,1.383,1.131,-48.1,0
74,75,287.8419,672.2737,354.5827228,42.631742,54554.14,103.694,0.6459999999999999,1.201,1.99,55.33389,24.38247,9153.887,67.0,1.159,1.04,-54.54,0
88,89,289.7418,670.2897,354.5826959,42.6315041,53518.48,103.5925,0.6523333333333333,1.242,2.33,55.77831,24.32418,7503.47,71.0,1.206,1.081,-43.13,0
71,72,272.1538,661.8687,354.5827818,42.6317866,65771.25,103.5464,0.6586666666666666,1.303,2.56,55.52275,24.33484,9336.329,75.0,1.267,1.051,-48.82,0
87,88,313.8757,670.3456,354.5826879,42.6312907,41431.42,103.6657,0.665,1.324,3.23,55.28573,24.34997,6300.44,99.0,3.265,1.021,13.85,0
71,72,317.4174,667.7862,354.5826547,42.6315463,66151.11,103.2362,0.6713333333333332,1.247,2.41,55.37918,24.27481,8673.834,70.0,1.23,1.046,-61.1,0
69,70,320.1222,665.4412,354.5827167,42.6317631,66286.88,103.2442,0.6776666666666666,1.142,1.94,55.26775,24.26812,10578.67,71.0,1.12,1.029,-38.79,0
73,74,322.6144,663.0397,354.5827342,42.6317689,66048.02,103.2402,0.6839999999999999,1.288,2.72,55.41026,24.27147,9259.195,78.0,1.288,1.024,-45.7,0
76,77,332.9954,635.1029,354.582733,42.6315303,65638.57,103.0499,0.6903333333333334,1.31,2.69,55.30659,24.24389,9300.826,76.0,1.263,1.037,-37.64,0
174,175,491.8523,81.6439,354.5825825,42.6315244,65468.29,104.2364,0.06966666666666667,1.378,3.03,59.77351,24.50999,8829.473,75.0,1.339,1.127,-47.92,0
100,101,366.4672,531.8264,354.5824778,42.6314803,37008.73,103.6887,0.6966666666666667,1.255,2.67,55.40726,24.38554,5792.098,82.0,2.047,1.043,-68.82,2
105,106,368.7361,529.8192,354.5827776,42.6319421,29855.99,103.1879,0.703,1.233,2.46,55.19324,24.27204,5038.235,85.0,2.75,1.066,13.98,0
81,82,441.3361,547.1503,354.582754,42.6315051,64386.38,103.102,0.7093333333333333,1.333,2.78,54.91269,24.23469,8101.312,79.0,1.339,1.063,-50.16,0
82,83,443.9886,544.5993,354.5826923,42.6315071,64413.38,103.2888,0.7156666666666667,1.381,2.99,55.2071,24.31733,7287.884,73.0,1.383,1.065,-41.63,0
86,87,446.7308,542.2681,354.5827322,42.6315037,64591.02,103.3473,0.722,1.234,2.52,54.67112,24.2709,9924.188,66.0,1.245,0.99,-39.89,0
113,114,449.1538,540.166,354.5827146,42.631487,24526.46,103.0285,0.7283333333333334,1.142,1.97,55.01553,24.22168,4474.93,50.0,1.097,0.962,-7.21,0
54,55,557.3996,771.2778,354.5826698,42.6314495,30995.98,103.8021,0.7346666666666666,1.061,1.8,55.27443,24.42517,5408.495,56.0,1.096,0.99,-87.61,0
43,44,559.4399,769.6223,354.5827454,42.6315176,66043.3,103.1137,0.741,1.203,2.45,54.88372,24.24171,10222.38,78.0,1.272,1.027,-36.12,0
46,47,562.083,767.0342,354.5827353,42.631517,66162.6,103.2411,0.7473333333333333,1.268,2.49,54.77481,24.27168,10714.26,72.0,1.249,0.982,-40.68,0
47,48,564.9406,764.6942,354.5826931,42.6315095,66333.01,103.2658,0.7536666666666666,1.293,2.93,55.34973,24.2689,8672.865,76.0,1.31,0.989,-31.89,0
174,175,489.8517,84.5095,354.5825923,42.6315289,65807.28,104.6261,0.07599999999999998,1.427,2.95,59.77728,24.58425,8212.204,77.0,1.398,1.127,-47.19,0
13,14,632.631,921.9478,354.5827017,42.6314918,55340.32,103.5974,0.76,1.303,2.61,55.40911,24.35544,7396.183,81.0,1.458,1.078,-87.96,0
18,19,634.96,919.9803,354.5827086,42.6315235,66488.41,102.8932,0.7663333333333333,1.23,2.25,54.3038,24.18989,11657.22,69.0,1.192,0.928,-26.55,0
17,18,637.7899,917.7588,354.582744,42.6315599,66815.9,103.4241,0.7726666666666666,1.306,2.7,55.02266,24.3233,8832.812,70.0,1.299,0.98,-40.38,0
17,18,640.421,915.3278,354.5826975,42.631549,67447.37,103.2238,0.7789999999999999,1.224,2.46,54.72903,24.2762,9319.551,74.0,1.215,1.017,-30.63,0
19,20,643.2387,912.9682,354.582742,42.6315551,66996.95,103.3509,0.7853333333333333,1.28,2.77,54.61023,24.2803,9492.252,80.0,1.326,0.971,-40.04,0
17,18,645.9931,910.7857,354.5827182,42.6315435,67689.3,102.7931,0.7916666666666666,1.208,2.29,54.30103,24.19203,11589.5,70.0,1.199,0.942,-33.46,0
16,17,648.9602,908.4051,354.5827241,42.6315563,66924.48,103.0054,0.7979999999999999,1.322,2.77,54.50959,24.22483,8142.971,71.0,1.296,1.015,-39.48,0
24,25,651.7875,906.1051,354.5826839,42.6315321,67043.99,103.0895,0.8043333333333332,1.236,2.39,54.50425,24.25749,11156.66,69.0,1.21,0.965,-36.07,0
17,18,655.1351,903.7372,354.5828646,42.6316432,66999.78,103.5132,0.8106666666666666,1.631,3.6,54.44526,24.30557,7330.418,88.0,1.613,1.22,-32.65,0
23,24,657.6625,901.3307,354.5826878,42.6315426,67185.71,103.4883,0.817,1.186,2.25,54.57973,24.30831,9720.538,79.0,1.17,1.075,-53.35,0
174,175,487.8603,87.2047,354.5826288,42.6315441,65536.53,104.1245,0.08233333333333333,1.321,2.43,60.00442,24.48803,8651.789,70.0,1.269,1.088,-50.88,0
23,24,660.3196,898.8508,354.5827566,42.6315624,66773.3,102.7432,0.8233333333333334,1.283,2.61,54.3433,24.14607,9598.85,74.0,1.266,1.012,-30.91,0
20,21,663.1749,896.6626,354.5827164,42.6315498,66960.27,102.8837,0.8296666666666666,1.2,2.35,54.55819,24.18764,11050.52,73.0,1.213,0.996,-40.2,0
19,20,665.8718,894.2947,354.5827028,42.6315266,67140.79,102.8342,0.836,1.212,2.28,54.66159,24.15466,10943.0,70.0,1.194,0.966,-26.95,0
16,17,668.8831,891.947,354.5827075,42.6315456,67140.27,103.2513,0.8423333333333333,1.285,2.85,54.6853,24.24836,10226.76,71.0,1.268,0.932,-36.73,0
21,22,672.1448,889.4909,354.5827407,42.6315648,66874.2,103.3114,0.8486666666666667,1.343,2.61,54.63552,24.26676,8569.618,73.0,1.292,1.059,-38.48,0
24,25,674.702,887.2488,354.582748,42.6315622,66685.72,103.4416,0.855,1.301,3.05,54.65137,24.28018,8461.418,68.0,1.318,0.94,-37.0,0
20,21,677.6317,884.9197,354.5827469,42.631566,67372.38,102.9822,0.8613333333333333,1.269,2.86,54.60525,24.21937,9827.622,69.0,1.265,0.926,-38.16,0
22,23,680.5394,882.4965,354.5828302,42.6315989,66768.16,103.2285,0.8676666666666667,1.385,3.24,54.23788,24.25156,8604.811,74.0,1.44,0.966,-45.97,0
29,30,683.3506,880.5545,354.5827089,42.6315456,67304.06,103.1449,0.874,1.188,2.53,54.51766,24.25335,9573.42,71.0,1.223,0.933,-25.27,0
23,24,686.2684,878.2022,354.5827356,42.6315689,66709.43,102.6882,0.8803333333333332,1.28,2.68,54.72916,24.15024,9368.294,67.0,1.266,0.95,-38.73,0
171,172,485.7269,89.944,354.5826274,42.6315213,65420.05,104.3548,0.08866666666666666,1.451,2.89,59.79241,24.51184,8028.636,77.0,1.426,1.147,-52.69,0
25,26,689.275,876.126,354.5827243,42.6315321,67010.12,103.4535,0.8866666666666667,1.225,2.41,54.7929,24.29154,10198.17,70.0,1.198,0.937,-32.83,0
26,27,692.2551,873.8085,354.5827325,42.631538,67309.91,102.913,0.8929999999999999,1.2,2.65,54.41155,24.19883,11300.75,72.0,1.222,0.918,-29.21,0
28,29,695.1056,871.7212,354.5827438,42.6315512,66961.41,103.261,0.8993333333333333,1.193,2.32,54.75288,24.25064,11624.0,71.0,1.174,0.931,-34.38,0
28,29,697.9966,869.2679,354.5827372,42.6315406,66812.86,103.1252,0.9056666666666666,1.219,2.35,54.3177,24.253,10850.98,72.0,1.226,0.959,-35.43,0
20,21,701.3569,866.8519,354.5830603,42.6317407,66499.72,103.5621,0.9119999999999999,1.767,4.93,54.23889,24.35144,6153.595,94.0,1.857,1.189,-44.52,0
25,26,703.9379,864.4612,354.5827264,42.6315265,66851.19,102.7306,0.9183333333333333,1.204,2.34,54.79699,24.13033,9687.829,70.0,1.183,0.965,-40.68,0
27,28,706.8168,861.9891,354.582726,42.6315496,66786.28,102.9314,0.9246666666666666,1.321,3.0,54.50509,24.216,9471.629,78.0,1.317,0.973,-38.81,0
31,32,709.7205,859.5446,354.582682,42.6315409,66747.74,103.3827,0.931,1.219,2.54,54.45039,24.28349,10134.64,75.0,1.245,0.984,-42.04,0
30,31,715.6699,855.1873,354.5827141,42.6315266,66676.23,102.9846,0.9436666666666665,1.202,2.37,53.99938,24.22422,10535.69,68.0,1.166,0.944,-30.03,0
30,31,718.8228,853.1356,354.5827551,42.6315424,66355.05,102.6147,0.95,1.315,2.89,53.90496,24.13722,9186.239,73.0,1.294,0.97,-33.96,0
