,object_index,x,y,barycenter_ra,barycenter_dec,aperture_flux,aperture_flux_error,time,flux_radius,gaussian_fwhm,background,threshold,flux_max,isoarea_image,prof_rms_major_axis,prof_rms_minor_axis,pos_angle,flags
111,112,340.8242,373.5942,354.7850413,42.6617058,26387.48,105.4099,0.0,1.457,2.68,63.40973,24.78594,3305.964,60.0,1.369,1.138,-49.18,0
112,113,338.8931,376.3327,354.7850953,42.6617174,26647.61,105.4669,0.006333333333333333,1.351,2.43,62.51038,24.76867,3381.12,59.0,1.315,1.132,-56.01,0
115,116,320.8893,401.1261,354.7850884,42.661699,26201.89,104.7867,0.06333333333333334,1.371,2.65,60.4365,24.60026,3258.22,52.0,1.297,1.094,-52.16,0
146,147,467.081,353.2982,354.785105,42.6617749,21517.83,103.8224,0.6459999999999999,1.322,2.39,55.06718,24.38247,2772.09,49.0,1.233,1.071,-54.07,0
153,154,469.0622,351.2224,354.7852119,42.6616855,21100.46,103.4278,0.6523333333333333,1.288,2.37,55.19858,24.32418,2769.173,47.0,1.172,1.078,-43.36,0
127,128,451.4566,342.8547,354.7850344,42.6617668,26349.63,103.4915,0.6586666666666666,1.33,2.63,55.14637,24.33484,3367.815,54.0,1.275,1.047,-46.69,0
159,160,493.7021,351.5124,354.7851711,42.6617086,16288.91,103.684,0.665,1.2,2.29,55.28466,24.34997,2316.204,42.0,1.163,0.979,-19.72,0
130,131,496.6819,348.837,354.7851078,42.6616709,26053.54,103.2544,0.6713333333333332,1.341,2.54,54.76642,24.27481,3490.208,57.0,1.266,1.095,-59.57,0
124,125,499.4167,346.499,354.7850956,42.661775,25926.57,103.1347,0.6776666666666666,1.149,2.05,54.90776,24.26812,3788.361,53.0,1.147,1.035,-44.75,0
132,133,501.9411,344.0715,354.7850926,42.6617883,25983.91,103.3315,0.6839999999999999,1.333,2.6,54.78234,24.27147,3685.227,52.0,1.288,1.0,-34.97,0
130,131,512.3646,316.1695,354.7851953,42.6616962,25783.62,103.1594,0.6903333333333334,1.307,2.59,54.7617,24.24389,3478.065,49.0,1.243,1.03,-33.34,0
113,114,319.0472,404.2029,354.7850799,42.6616971,26515.6,104.181,0.06966666666666667,1.343,2.55,60.28539,24.50999,3259.405,55.0,1.273,1.101,-42.55,0
212,213,546.2048,212.7821,354.7850803,42.6616779,15208.26,103.6704,0.6966666666666667,1.229,2.13,54.8946,24.38554,2323.252,49.0,1.262,1.031,-65.69,2
185,186,547.9659,210.8935,354.7850406,42.6617455,12579.92,103.2244,0.703,1.264,2.12,54.65267,24.27204,2064.675,38.0,1.082,1.044,-49.58,0
141,142,620.9936,228.3313,354.7852303,42.6616914,26599.24,103.0473,0.7093333333333333,1.396,2.94,54.47861,24.23469,2952.253,55.0,1.335,1.037,-45.33,0
