,object_index,x,y,barycenter_ra,barycenter_dec,aperture_flux,aperture_flux_error,time,flux_radius,gaussian_fwhm,background,threshold,flux_max,isoarea_image,prof_rms_major_axis,prof_rms_minor_axis,pos_angle,flags
157,158,364.6474,114.7847,354.6411654,42.6831838,15054.59,105.4286,0.0,1.456,2.79,62.95153,24.78594,1787.147,51.0,1.394,1.129,-42.19,0
158,159,362.7264,117.5604,354.6412253,42.6831924,15130.9,105.3365,0.006333333333333333,1.418,2.63,62.75475,24.76867,1825.155,47.0,1.304,1.126,-56.22,0
159,160,344.7611,142.3386,354.6412248,42.6831678,15097.48,104.6018,0.06333333333333334,1.421,2.74,59.85789,24.60026,1683.433,47.0,1.334,1.091,-53.01,0
89,90,438.0022,611.5846,354.6413025,42.6833523,12516.99,103.5839,0.6459999999999999,1.253,2.15,55.16995,24.38247,1951.681,38.0,1.155,0.999,-46.31,0
101,102,439.894,609.5469,354.6413133,42.683141,12157.16,103.5925,0.6523333333333333,1.24,2.22,55.36835,24.32418,1891.751,40.0,1.112,1.014,-32.55,0
81,82,422.3272,601.1591,354.6413419,42.6833832,14796.74,103.4915,0.6586666666666666,1.296,2.47,55.42777,24.33484,1878.581,42.0,1.202,0.994,-48.68,0
103,104,464.6435,609.752,354.6413331,42.683185,9240.448,103.5742,0.665,1.21,2.26,55.13744,24.34997,1395.443,34.0,1.149,0.923,-13.16,0
81,82,467.5647,607.1054,354.6412447,42.683167,14573.76,103.2362,0.6713333333333332,1.314,2.45,55.19058,24.27481,2096.775,40.0,1.194,1.013,-56.96,0
79,80,470.2242,604.7816,354.6412701,42.6833376,14521.19,103.2625,0.6776666666666666,1.173,1.94,55.40401,24.26812,2559.726,37.0,1.038,0.965,-39.63,0
85,86,472.7788,602.3768,354.6412835,42.6833632,14318.54,103.2585,0.6839999999999999,1.267,2.55,55.14754,24.27147,2154.645,37.0,1.183,0.94,-39.26,0
86,87,483.1411,574.4833,354.6413037,42.6831624,14704.58,103.2323,0.6903333333333334,1.304,2.66,55.00625,24.24389,1964.399,43.0,1.215,0.988,-35.18,0
160,161,342.935,145.4306,354.641219,42.6831687,14729.17,104.2548,0.06966666666666667,1.38,2.82,60.16043,24.50999,1930.326,42.0,1.28,1.039,-42.29,0
151,152,516.8005,471.0071,354.6412343,42.6831266,8379.923,103.5969,0.6966666666666667,1.218,1.92,55.12626,24.38554,1591.515,37.0,1.186,0.97,-49.14,0
122,123,518.5082,469.1011,354.6413203,42.683322,6531.289,103.3157,0.703,1.15,2.04,54.81898,24.27204,1120.049,26.0,0.967,0.94,-39.63,0
92,93,591.5602,486.6172,354.6413324,42.6831415,14620.65,103.102,0.7093333333333333,1.377,2.91,54.67809,24.23469,1769.056,42.0,1.316,0.954,-40.77,0
